Name,Code,State,Local,RTA,Rate,Effective Date,Expiration Date
GRANGER,3902,0.065,0.015,0,0.08,20230401,20230630
HARRAH,3903,0.065,0.015,0,0.08,20230401,20230630
MABTON,3904,0.065,0.015,0,0.08,20230401,20230630
MOXEE CITY,3905,0.065,0.015,0,0.08,20230401,20230630
NACHES,3906,0.065,0.015,0,0.08,20230401,20230630
SELAH,3907,0.065,0.018,0,0.083,20230401,20230630
SUNNYSIDE,3908,0.065,0.017,0,0.082,20230401,20230630
TIETON,3909,0.065,0.015,0,0.08,20230401,20230630
TOPPENISH,3910,0.065,0.015,0,0.08,20230401,20230630
UNION GAP,3911,0.065,0.017,0,0.082,20230401,20230630
WAPATO,3912,0.065,0.015,0,0.08,20230401,20230630
YAKIMA CITY,3913,0.065,0.018,0,0.083,20230401,20230630
ZILLAH,3914,0.065,0.015,0,0.08,20230401,20230630
KING COUNTY NON-RTA,4000,0.065,0.022,0,0.087,20230401,20230630
AUBURN/KING NON-RTA,4002,0.065,0.023,0,0.088,20230401,20230630
BELLEVUE NON-RTA,4004,0.065,0.022,0,0.087,20230401,20230630
ISSAQUAH NON-RTA,4014,0.065,0.022,0,0.087,20230401,20230630
KENT NON-RTA,4015,0.065,0.022,0,0.087,20230401,20230630
REDMOND NON-RTA,4024,0.065,0.022,0,0.087,20230401,20230630
RENTON NON-RTA,4025,0.065,0.022,0,0.087,20230401,20230630
WOODINVILLE NON-RTA,4035,0.065,0.022,0,0.087,20230401,20230630
NEWCASTLE NON-RTA,4036,0.065,0.022,0,0.087,20230401,20230630
SAMMAMISH NON-RTA,4039,0.065,0.022,0,0.087,20230401,20230630
PIERCE COUNTY NON-RTA,4100,0.065,0.015,0,0.08,20230401,20230630
BONNEY LAKE NON-RTA,4101,0.065,0.015,0,0.08,20230401,20230630
